"","region","object of transaction","address","total area transfer","land type_in city","land type_not in city","Land use zoning detailed map of non-urban area","date","number of buildings","transfer floor","total floors","type of building","main uses","main building materials","time of completion","total area","number of living rooms","number of dining  rooms","number of restrooms","has compartment","has management organization","selling price","selling price per square meter","parking category","total parking area transfer","parking price"
"683","大同區","土地","雙連段二小段271~300地號",7.8,"其他",NA,NA,10310,"土地1建物0車位0","",NA,"其他","","",NA,0,0,0,0,"有","無",306150,39250,"",0,0
"684","內湖區","房地(土地+建物)","臺北市內湖區康寧路一段271~300號",12.32,"住",NA,NA,10309,"土地4建物1車位0","八層",12,"套房(1房1廳1衛)","住家用","鋼筋混凝土造",801021,40.49,1,1,1,"有","有",7800000,192640,"",0,0
"685","內湖區","房地(土地+建物)","臺北市內湖區民權東路六段280巷91~120號",23.2,"住",NA,NA,10309,"土地1建物1車位0","十三層",13,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",830314,98.55,2,2,1,"有","有",20500000,208016,"",0,0
"686","信義區","房地(土地+建物)","臺北市信義區富陽街91~120號",19.79,"住",NA,NA,10307,"土地1建物1車位0","一層",7,"店面(店鋪)","商業用","鋼筋混凝土造",710930,171.29,5,3,2,"有","無",29600000,172806,"",0,0
"687","南港區","土地","南港段四小段511~540地號",14.4,"其他",NA,NA,10301,"土地1建物0車位0","",NA,"其他","","",NA,0,0,0,0,"有","無",4110344,285441,"",0,0
"688","士林區","房地(土地+建物)+車位","臺北市士林區基河路396巷1~30號",51.39,"住",NA,NA,10309,"土地2建物1車位1","三層",12,"住宅大樓(11層含以上有電梯)","住家用","鋼骨鋼筋混凝土造",1010410,243.72,4,2,2,"有","有",58500000,240030,"坡道平面",38.79,0
"689","北投區","房地(土地+建物)+車位","臺北市北投區大度路三段301巷31~60號",22.22,"住",NA,NA,10310,"土地1建物1車位1","六層",7,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",860724,56.01,2,1,1,"有","有",1855000,33119,"坡道平面",0,0
"690","士林區","房地(土地+建物)","臺北市士林區士東路200巷15弄1~30號",106,"住",NA,NA,10309,"土地1建物1車位0","全",2,"透天厝","住家用","加強磚造",611102,157.32,4,2,3,"有","無",30900000,196415,"",0,0
"691","大安區","土地","辛亥段三小段391~420地號",19.2,"其他",NA,NA,10310,"土地1建物0車位0","",NA,"其他","","",NA,0,0,0,0,"有","無",5491200,286000,"",0,0
"692","大安區","土地","懷生段一小段61~90地號",13,"其他",NA,NA,10310,"土地1建物0車位0","",NA,"其他","","",NA,0,0,0,0,"有","無",900000,69231,"",0,0
